date,INTC
2003-04-03,11.0058030478
2003-04-04,10.6800763782
2003-04-07,10.8679956106
2003-04-08,10.7113962503
2003-04-09,10.4483093248
2003-04-10,10.5735888131
2003-04-11,10.4984211201
2003-04-14,10.7489800968
2003-04-15,10.7301881735
2003-04-16,11.3753775383
2003-04-17,11.6885762591
2003-04-21,11.6823122846
2003-04-22,11.9015513892
2003-04-23,12.2022221611
2003-04-24,11.8702315171
2003-04-25,11.4505452313
2003-04-28,11.7449520288
2003-04-29,11.8514395939
2003-04-30,11.506921001
2003-05-01,11.6196725405
2003-05-02,11.9328712613
2003-05-05,11.9266072868
2003-05-06,12.2526764661
2003-05-07,12.0143951428
2003-05-08,11.8325488698
2003-05-09,12.2777587106
2003-05-12,12.5348517174
2003-05-13,12.428252178
2003-05-14,12.3279231998
2003-05-15,12.5411222785
2003-05-16,12.2275942215
2003-05-19,11.707137647
2003-05-20,11.7008670858
2003-05-21,11.8137371863
2003-05-22,11.7698432584
2003-05-23,11.7949255029
2003-05-27,12.4031699334
2003-05-28,12.3780876889
2003-05-29,13.061578853
2003-05-30,13.0553082919
2003-06-02,12.7794036018
2003-06-03,13.2308840038
2003-06-04,13.4070867718
2003-06-05,13.6949055281
2003-06-06,13.644741039
2003-06-09,13.5883059887
2003-06-10,13.7757957668
2003-06-11,13.7262583338
2003-06-12,13.8830223623
2003-06-13,13.3932915373
2003-06-16,13.7137172115
2003-06-17,13.4503536437
2003-06-18,13.639097534
2003-06-19,13.2434251261
2003-06-20,12.9612498748
2003-06-23,12.7668624795
2003-06-24,12.8232975298
2003-06-25,12.566204523
2003-06-26,12.9361676303
2003-06-27,12.8985442634
2003-06-30,13.0490377308
2003-07-01,13.4252713991
2003-07-02,13.9269162903
2003-07-03,13.6259293556
2003-07-07,14.3652285139
2003-07-08,14.5163490374
2003-07-09,14.7232775549
2003-07-10,14.36585557
2003-07-11,14.6336085307
2003-07-14,15.0618878565
2003-07-15,15.1120523456
2003-07-16,15.8707902434
2003-07-17,15.6325089201
2003-07-18,15.4632037694
2003-07-21,15.086970101
2003-07-22,15.312710302
2003-07-23,15.5572621865
2003-07-24,15.0305350508
2003-07-25,15.6199677979
2003-07-28,15.5259093808
2003-07-29,15.6136972367
2003-07-30,15.35660423
2003-07-31,15.6074266756
2003-08-01,15.6889439704
2003-08-04,15.7579201429
2003-08-05,15.2311930072
2003-08-06,15.1496085371
2003-08-07,15.0554726099
2003-08-08,14.7981677425
2003-08-11,14.9989910537
2003-08-12,15.293950292
2003-08-13,15.5073250601
2003-08-14,15.7771813845
2003-08-15,15.7206998282
2003-08-18,16.4361328743
2003-08-19,16.6118532716
2003-08-20,16.5428202584
2003-08-21,16.5616474438
2003-08-22,17.1892202912
2003-08-25,17.0950843641
2003-08-26,17.3900436024
2003-08-27,17.5845911851
2003-08-28,17.7603115824
