date,VZ
2002-09-30,10.191121075
2002-10-01,10.985909672
2002-10-02,11.2718850082
2002-10-03,12.2189461869
2002-10-04,12.4789237653
2002-10-07,12.0332479165
2002-10-08,12.1688076539
2002-10-09,12.0823707867
2002-10-10,12.3830207596
2002-10-11,13.2248406837
2002-10-14,13.0444507
2002-10-15,13.1910175618
2002-10-16,13.0594831986
2002-10-17,13.4390537895
2002-10-18,13.1421619412
2002-10-21,13.4089887922
2002-10-22,14.1869205971
2002-10-23,13.8035918816
2002-10-24,13.8637218762
2002-10-25,13.743461887
2002-10-28,14.1343068518
2002-10-29,13.754736261
2002-10-30,14.3710687055
2002-10-31,14.1906787217
2002-11-01,14.5026030687
2002-11-04,14.7393649223
2002-11-05,14.9197549061
2002-11-06,14.6566861798
2002-11-07,14.3222130849
2002-11-08,14.5364261906
2002-11-11,14.0967256052
2002-11-12,14.4236824508
2002-11-13,14.1681299738
2002-11-14,14.3936174535
2002-11-15,14.7731880443
2002-11-18,14.5138774426
2002-11-19,14.277115589
2002-11-20,14.6754768031
2002-11-21,15.2730186243
2002-11-22,15.0324986459
2002-11-25,15.4083111121
2002-11-26,14.9723686513
2002-11-27,15.6225242178
2002-11-29,15.7390260823
2002-12-02,15.5398454752
2002-12-03,15.1565167598
2002-12-04,15.0024336486
2002-12-05,14.6829930524
2002-12-06,15.1039030145
2002-12-09,14.3936174535
2002-12-10,14.4124080768
2002-12-11,14.5251518166
2002-12-12,14.4311987001
2002-12-13,14.5439424399
2002-12-16,15.009949898
2002-12-17,14.7168161744
2002-12-18,14.7506392963
2002-12-19,14.5777655619
2002-12-20,15.0324986459
2002-12-23,14.9949173993
2002-12-24,14.8445924128
2002-12-26,14.9159967814
2002-12-27,14.6191049332
2002-12-30,14.6491699305
2002-12-31,14.5627330632
2003-01-02,15.0963867652
2003-01-03,15.2016142557
2003-01-06,16.5620553831
2003-01-07,16.3929397734
2003-01-08,15.5191757896
2003-01-09,15.3484686494
2003-01-10,15.2270769053
2003-01-13,15.4205449975
2003-01-14,15.6216000737
2003-01-15,15.2460443653
2003-01-16,14.991880401
2003-01-17,14.6049442165
2003-01-21,14.1762796201
2003-01-22,14.0321269239
2003-01-23,13.6186362954
2003-01-24,13.277222015
2003-01-27,13.4479291552
2003-01-28,13.6755386755
2003-01-29,13.6755386755
2003-01-30,14.10040978
2003-01-31,14.5214873925
2003-02-03,14.6921945326
2003-02-04,14.6618465966
2003-02-05,14.6049442165
2003-02-06,14.4228566003
2003-02-07,14.104203272
2003-02-10,14.164899144
2003-02-11,14.0093659719
2003-02-12,13.6641581995
2003-02-13,13.7741694676
2003-02-14,14.164899144
2003-02-18,14.3773346963
2003-02-19,13.8841807357
2003-02-20,13.1861782069
2003-02-21,13.5200055033
2003-02-24,13.4479291552
2003-02-25,13.5010380433
2003-02-26,13.269635031
2003-02-27,13.220319635
2003-02-28,13.1178953509
2003-03-03,13.205145667
2003-03-04,13.0534059868
2003-03-05,13.1368628109
2003-03-06,12.6702632944
2003-03-07,12.9206337666
2003-03-10,12.4236863141
2003-03-11,12.2947075859
2003-03-12,12.6968177384
2003-03-13,13.1823847149
2003-03-14,13.2961894751
2003-03-17,13.6565712155
2003-03-18,13.6186362954
2003-03-19,13.8348653397
2003-03-20,13.7514085156
2003-03-21,14.2369754921
2003-03-24,13.5996688354
2003-03-25,13.7589954996
2003-03-26,13.6831256595
2003-03-27,13.7703759756
2003-03-28,13.7134735955
2003-03-31,13.4099942352
2003-04-01,13.6755386755
2003-04-02,14.2180080321
2003-04-03,13.6907126435
2003-04-04,13.6110493114
2003-04-07,13.4213747112
2003-04-08,13.226009873
2003-04-09,12.9651720913
2003-04-10,13.1377853292
2003-04-11,13.0342173864
2003-04-14,13.3180702665
2003-04-15,13.2490249714
2003-04-16,12.7848871539
2003-04-17,12.8999626458
2003-04-21,12.7235135582
2003-04-22,13.0380532362
2003-04-23,13.8205665813
2003-04-24,13.9241345241
2003-04-25,13.8320741305
2003-04-28,14.2271666528
2003-04-29,14.1657930571
2003-04-30,14.338406295
2003-05-01,14.3460779945
2003-05-02,14.637602574
2003-05-05,14.2655251501
2003-05-06,14.495676134
2003-05-07,14.4189591394
2003-05-08,13.9356420732
2003-05-09,14.2156591036
2003-05-12,14.3844364918
2003-05-13,14.3422421447
2003-05-14,14.3537496939
2003-05-15,14.2310025025
2003-05-16,13.8665967781
2003-05-19,13.7131627888
2003-05-20,13.7285061878
2003-05-21,13.7131627888
2003-05-22,13.8665967781
2003-05-23,14.0852402128
2003-05-27,14.3729289426
2003-05-28,14.3000477977
2003-05-29,14.2079874042
2003-05-30,14.5186912324
2003-06-02,14.7718573146
2003-06-03,14.9214554542
2003-06-04,15.1784573861
2003-06-05,15.2475026813
2003-06-06,15.0480384953
2003-06-09,14.9329630033
2003-06-10,15.1707856867
2003-06-11,15.3318913754
2003-06-12,15.2628460802
2003-06-13,15.1324271894
2003-06-16,15.2858611786
2003-06-17,15.3318913754
2003-06-18,15.4354593181
2003-06-19,15.3855932716
2003-06-20,15.807536742
2003-06-23,15.5888933074
2003-06-24,15.6119084058
2003-06-25,15.2858611786
2003-06-26,15.3932649711
2003-06-27,15.2129800337
2003-06-30,15.1324271894
2003-07-01,15.151606438
2003-07-02,15.4239517689
2003-07-03,15.2858611786
2003-07-07,15.3625781732
2003-07-08,15.3031225024
2003-07-09,15.0319965659
2003-07-10,14.7569974017
2003-07-11,15.0165036552
2003-07-14,14.5246037418
2003-07-15,14.3115762203
2003-07-16,14.0327038284
2003-07-17,13.8777747219
2003-07-18,13.9436195922
2003-07-21,13.4672125894
2003-07-22,13.8158030792
2003-07-23,13.6841133386
2003-07-24,13.4362267681
2003-07-25,13.5717897364
2003-07-28,13.9358731368
2003-07-29,13.7112259323
2003-07-30,13.645381062
2003-07-31,13.5562968257
2003-08-01,13.3161567105
2003-08-04,13.8816479495
2003-08-05,13.575662964
2003-08-06,13.9629857305
2003-08-07,13.691859794
2003-08-08,13.5562968257
2003-08-11,13.633761379
2003-08-12,13.9746054135
2003-08-13,13.7964369409
2003-08-14,13.8467889006
2003-08-15,13.8739014942
2003-08-18,13.8855211772
2003-08-19,13.8584085835
2003-08-20,13.8661550389
2003-08-21,13.9629857305
2003-08-22,13.6415078343
2003-08-25,13.4788322724
2003-08-26,13.5601700534
2003-08-27,13.5834094194
2003-08-28,13.7886904856
2003-08-29,13.680240111
2003-09-02,13.7693243473
2003-09-03,14.0404502838
2003-09-04,14.1953793904
2003-09-05,14.0598164221
2003-09-08,13.8622818112
2003-09-09,13.6143952407
2003-09-10,13.8506621282
2003-09-11,13.668620428
2003-09-12,13.8003101686
2003-09-15,13.5679165087
2003-09-16,13.7538314366
2003-09-17,13.7693243473
2003-09-18,13.9010140879
2003-09-19,13.6531275173
2003-09-22,13.4439732234
2003-09-23,12.8320032525
2003-09-24,12.6267221862
2003-09-25,12.6460883246
2003-09-26,12.6228489586
2003-09-29,12.6577080076
2003-09-30,12.5647505436
2003-10-01,12.7739048375
2003-10-02,12.8901016674
2003-10-03,13.06827014
2003-10-06,13.091509506
2003-10-07,12.975312676
2003-10-08,12.8068272726
2003-10-09,12.6814238232
2003-10-10,12.6775049654
2003-10-13,12.4933186491
2003-10-14,12.3444020529
2003-10-15,12.6069655251
2003-10-16,12.6265598141
2003-10-17,12.5873712361
2003-10-20,12.818583846
2003-10-21,12.6030466673
2003-10-22,12.7245312589
2003-10-23,13.0262833091
2003-10-24,13.0262833091
2003-10-27,13.0223644513
2003-10-28,12.9635815844
2003-10-29,12.857772424
2003-10-30,12.8538535662
