date,SPY
2003-01-27,59.5577328959
2003-01-28,59.9981280934
2003-01-29,60.4525011838
2003-01-30,59.0194784678
2003-01-31,60.1589032204
2003-02-03,60.2777425718
2003-02-04,59.6835590965
2003-02-05,59.313071538
2003-02-06,59.0334570596
2003-02-07,58.313452277
2003-02-10,58.7258853976
2003-02-11,58.3204440195
2003-02-12,57.3907268052
2003-02-13,57.5654854173
2003-02-14,58.8237502203
2003-02-18,59.8583177086
2003-02-19,59.543754304
2003-02-20,58.949576421
2003-02-21,59.543754304
2003-02-24,58.5790888625
2003-02-25,59.0474405447
2003-02-26,58.1876260763
2003-02-27,58.9565625713
2003-02-28,59.3480260565
2003-03-03,58.7818039592
2003-03-04,57.8451005947
2003-03-05,58.3344226114
2003-03-06,57.8451005947
2003-03-07,58.2435502302
2003-03-10,56.8454813336
2003-03-11,56.2862516779
2003-03-12,56.663730979
2003-03-13,58.6210295313
2003-03-14,58.8097660362
2003-03-17,60.6622087222
2003-03-18,61.0187176889
2003-03-19,61.4870693712
2003-03-20,61.6198880134
2003-03-21,62.9301414064
2003-03-24,60.8387889602
2003-03-25,61.4212770151
2003-03-26,61.1124898155
2003-03-27,61.1616156101
2003-03-28,60.8528227961
2003-03-31,59.4702818765
2003-04-01,60.3826201662
2003-04-02,61.8423594648
2003-04-03,61.5476004868
2003-04-04,61.9125377677
2003-04-07,61.7932336703
2003-04-08,61.8914845576
2003-04-09,61.0773978569
2003-04-10,61.4142625534
2003-04-11,61.1616156101
2003-04-14,62.4248468179
2003-04-15,63.0073397854
2003-04-16,61.9335909779
2003-04-17,62.8529437293
2003-04-21,62.9161082723
2003-04-22,64.1021411012
2003-04-23,64.691653443
2003-04-24,64.1161805515
2003-04-25,63.3231512718
2003-04-28,64.4179532894
2003-04-29,64.6425283502
2003-04-30,64.5021710426
2003-05-01,64.4951516684
2003-05-02,65.414503718
2003-05-05,65.2881802463
2003-05-06,65.9057651724
2003-05-07,65.5408271897
2003-05-08,64.8811365451
2003-05-09,65.7794409989
2003-05-12,66.5865034128
2003-05-13,66.4671993154
2003-05-14,66.3268420078
2003-05-15,66.7479195449
2003-05-16,66.5794896529
2003-05-19,65.0214994671
2003-05-20,64.8881559193
2003-05-21,65.0214994671
2003-05-22,65.6671513632
2003-05-23,65.8004942091
2003-05-27,66.9514413955
2003-05-28,67.1409237959
2003-05-29,66.9654745297
2003-05-30,68.0392233372
2003-06-02,68.3199428649
2003-06-03,68.6006630945
2003-06-04,69.5901997632
2003-06-05,69.9340789214
2003-06-06,69.6603780661
2003-06-09,68.9515616269
2003-06-10,69.6533586918
2003-06-11,70.3902477154
2003-06-12,70.6078034019
2003-06-13,69.8709143784
2003-06-16,71.3446924254
2003-06-17,71.3446924254
2003-06-18,71.2815278824
2003-06-19,70.1937403264
2003-06-20,70.0395239304
2003-06-23,69.3210947959
2003-06-24,69.3915280443
2003-06-25,68.6942333216
2003-06-26,69.5887473377
2003-06-27,68.7858009818
2003-06-30,68.7646658656
2003-07-01,69.3985728482
2003-07-02,70.2719524525
2003-07-03,69.5464834444
2003-07-07,70.9269882122
2003-07-08,71.2439445208
2003-07-09,70.8424709907
2003-07-10,69.940917101
2003-07-11,70.6029927343
2003-07-14,70.948122624
2003-07-15,70.7931672238
2003-07-16,70.3776040858
2003-07-17,69.3774433667
2003-07-18,70.0888276973
2003-07-21,69.2224879666
2003-07-22,69.8493494409
2003-07-23,69.8986532077
2003-07-24,69.3703985628
2003-07-25,70.5959528607
2003-07-28,70.3353458272
2003-07-29,70.0113503493
2003-07-30,69.8423102716
2003-07-31,70.004304841
2003-08-01,69.3844881707
2003-08-04,69.3844881707
2003-08-05,67.9124157428
2003-08-06,68.3068493994
2003-08-07,69.0252736035
2003-08-08,69.2224879666
2003-08-11,69.4830957044
2003-08-12,70.1170019827
2003-08-13,69.7577874154
2003-08-14,69.9479569746
2003-08-15,70.1663057495
2003-08-18,70.7720377424
2003-08-19,71.0396853538
2003-08-20,70.7509033305
2003-08-21,70.976291979
2003-08-22,70.2719524525
2003-08-25,70.3846488897
2003-08-26,70.5114307089
2003-08-27,70.532559486
2003-08-28,70.9692521055
2003-08-29,71.4482029835
2003-09-02,72.406105444
2003-09-03,72.8005341702
2003-09-04,72.8357532595
2003-09-05,72.4272349255
2003-09-08,73.0259221144
2003-09-09,72.5469712363
2003-09-10,71.8144574243
2003-09-11,72.0257613953
2003-09-12,72.1595823837
2003-09-15,71.9060194498
2003-09-16,72.9554895704
2003-09-17,72.8146181434
2003-09-18,73.6739130701
2003-09-19,73.3006553814
2003-09-22,72.5087544544
2003-09-23,72.784506194
2003-09-24,71.4905901601
2003-09-25,70.9037309748
2003-09-26,70.6704005673
2003-09-29,71.363319093
2003-09-30,70.6704005673
2003-10-01,72.1764366961
2003-10-02,72.4380444564
2003-10-03,73.1026799729
2003-10-06,73.4349984382
2003-10-07,73.7178221675
2003-10-08,73.5339857889
2003-10-09,73.7319611974
2003-10-10,73.9370085956
2003-10-13,74.1703390031
2003-10-14,74.4319467634
2003-10-15,74.2339713549
2003-10-16,74.5309397706
2003-10-17,73.7178221675
2003-10-20,74.2693263538
2003-10-21,74.1420559938
2003-10-22,73.2087400203
2003-10-23,73.0743969636
2003-10-24,73.2370230296
2003-10-27,73.2723723721
